Model created!
Starting value iteration ...
Value iteration complete!
5.30792879244 30
5.16794816074 30
5.02973742168 30
4.89330203159 30
4.7586473767 30
4.62577877294 30
4.49470146575 30
4.36542062982 30
4.23794136895 30
4.1122687158 30
3.98840763171 30
3.86636300649 30
3.74613965828 30
3.62774233327 30
3.51117570559 30
3.39644437709 30
3.28355287717 30
3.17250566259 30
3.06330711731 30
2.95596155229 30
2.85047320536 30
2.74684624101 30
2.64508475026 30
2.54519275049 30
2.44717418524 30
2.35103292414 30
2.25677276267 30
2.16439742206 30
2.07391054913 30
1.98531571615 30
1.8986164207 30
1.8138160855 30
1.73091805834 30
1.64992561188 30
1.57084194357 30
1.49367017549 30
1.41841335427 30
1.34507445089 30
1.27365636067 30
1.20416190306 30
1.13659382159 30
1.07095478373 30
1.00724738079 30
0.945474127833 30
0.885637463566 30
0.827739750234 30
0.77178327354 30
0.71777024255 30
0.665702789607 30
0.615582970243 30
0.567412763104 30
0.521194069868 30
0.476928715167 30
0.434618446525 30
0.394264934276 30
0.355869771509 30
0.319434474 30
0.28496048015 30
0.252449150935 30
0.221901769846 30
0.193319542841 30
0.166703598299 30
0.142054986969 30
0.119374681939 30
0.0986635785864 30
0.0799224945513 30
0.0631521696992 30
0.0483532660937 30
0.0355263679706 30
0.0246719817134 30
0.015790535835 30
0.00888238095955 20
0.0039477898092 20
0.000986957193142 20
0.0 20
0.000986957193142 20
0.00394778980918 20
0.00888238095953 20
0.015790535835 20
0.0246719817134 20
0.0355263679705 20
0.0483532660938 20
0.0631521696991 20
0.0799224945512 20
0.0986635785864 20
0.119374681939 20
0.142054986969 20
0.166703598298 20
0.193319542841 20
0.221901769846 20
0.252449150935 20
0.28496048015 20
0.319434474 20
0.355869771509 20
0.394264934276 20
0.434618446525 20
0.476928715167 20
0.521194069867 20
0.567412763104 20
0.615582970243 20
0.665702789606 20
0.71777024255 20
0.77178327354 20
0.827739750234 20
0.885637463565 20
0.945474127833 20
1.00724738079 20
1.07095478373 20
1.13659382159 20
1.20416190306 20
1.27365636067 20
1.34507445089 20
1.41841335427 20
1.49367017549 20
1.57084194357 20
1.64992561188 20
1.73091805834 20
1.8138160855 20
1.8986164207 20
1.98531571615 20
2.07391054913 20
2.16439742206 20
2.25677276267 20
2.35103292414 20
2.44717418524 20
2.54519275049 20
2.64508475026 20
2.74684624101 20
2.85047320536 20
2.95596155229 20
3.06330711731 20
3.17250566259 20
3.28355287717 20
3.39644437709 20
3.51117570559 20
3.62774233327 20
3.74613965828 20
3.86636300649 20
3.98840763171 20
4.1122687158 20
4.23794136895 20
4.36542062982 20
4.49470146575 20
4.62577877294 20
4.7586473767 20
4.89330203159 20
5.02973742168 20
5.16794816074 20
5.30792879244 20
5.44967379058 20
5.59317755932 20
5.73843443338 20
5.88543867825 20
6.03418449047 20
6.18466599781 20
6.3368772595 20
6.49081226652 20
6.64646494178 20
6.80382914036 20
6.9628986498 20
7.12366719032 20
7.28612841504 20
7.45027591026 20
7.61610319575 20
7.7836037249 20
7.95277088509 20
8.12359799789 20
8.29607831934 20
8.47020504021 20
8.64597128627 20
8.82337011858 20
9.00239453373 20
9.18303746414 20
9.36529177834 20
9.54915028125 20
9.73460571444 20
9.92165075646 20
10.1102780231 20
10.3004800676 20
10.4922493812 20
10.6855783932 20
10.8804594712 20
11.0768849216 20
11.2748469901 20
11.4743378612 20
11.6753496595 20
11.8778744494 20
12.0819042356 20
12.2874309632 20
12.4944465185 20
12.7029427288 20
12.9129113631 20
13.1243441321 20
13.3372326889 20
13.5515686289 20
13.7673434906 20
13.9845487556 20
14.2031758489 20
14.4232161395 20
14.6446609407 20
14.8675015101 20
15.0917290503 20
15.3173347094 20
15.5443095806 20
15.7726447036 20
16.0023310639 20
16.2333595939 20
16.4657211732 20
16.6994066283 20
16.9344067338 20
17.1707122124 20
17.408313735 20
17.6472019215 30
17.8873673412 30
18.1288005126 30
18.3714919043 30
18.6154319355 30
18.8606109756 30
19.1070193455 30
19.3546473174 30
19.6034851153 30
19.8535229155 30
20.1047508471 30
20.3571589919 30
20.6107373854 30
20.8654760166 30
21.1213648289 30
21.3783937203 30
21.6365525437 30
21.8958311074 30
22.1562191756 30
22.4177064686 30
22.6802826633 30
22.9439373937 30
23.2086602511 30
23.4744407847 30
23.7412685019 30
24.009132869 30
24.2780233109 30
24.5479292125 30
24.8188399182 30
25.090744733 30
25.3636329226 40
25.6374937137 40
25.9123162949 40
26.1880898166 40
26.4648033917 40
26.7424460961 40
27.0210069689 40
27.300475013 40
27.5808391955 40
27.8620884481 40
28.1442116675 40
28.427197716 40
28.7110354217 40
28.9957135794 40
29.2812209503 40
29.5675462632 40
29.8546782143 40
30.1426054683 40
30.4313166581 40
30.7208003861 40
31.0110452239 40
31.3020397131 40
31.5937723658 40
31.8862316648 40
32.1794060643 40
32.4732839904 40
32.7678538413 40
33.0631039877 40
33.3590227738 40
33.6555985173 50
33.9528195096 50
34.2506740172 50
34.5491502813 50
34.8482365184 50
35.1479209211 50
35.4481916586 50
35.7490368765 50
36.050444698 50
36.3524032241 50
36.654900534 50
36.9579246855 50
37.2614637158 50
37.5655056418 50
37.8700384602 50
38.1750501488 50
38.4805286662 50
38.7864619525 50
39.0928379302 50
39.3996445039 50
39.7068695615 50
40.0145009743 50
40.3225265975 60
40.6309342707 70
40.9397118186 70
41.2488470512 60
41.5583277644 60
41.8681417403 60
42.178276748 60
42.488720544 60
42.7994608724 60
43.1104854658 60
43.4217820454 60
43.7333383218 60
44.0451419953 60
44.3571807563 60
44.6694422862 60
44.9819142574 60
45.2945843341 60
45.6074401725 60
45.9204694216 60
46.2336597236 60
46.5469987143 60
46.8604740235 60
47.1740732759 60
47.487784091 60
47.8015940841 60
48.1154908665 60
48.4294620461 60
48.7434952278 60
49.0575780142 60
49.3716980058 60
49.6858428017 60
50.0 60
50.3141571983 70
50.6283019942 70
50.9424219858 70
51.2565047722 70
51.5705379539 70
51.8845091335 70
52.1984059159 70
52.512215909 70
52.8259267241 70
53.1395259765 70
53.4530012857 70
53.7663402764 70
54.0795305784 70
54.3925598275 70
54.7054156659 70
55.0180857426 70
55.3305577138 70
55.6428192437 70
55.9548580047 70
56.2666616782 70
56.5782179546 70
56.8895145342 70
57.2005391276 70
57.511279456 70
57.821723252 70
58.1318582597 70
58.4416722356 70
58.7511529488 70
59.0602881814 70
59.3690657293 70
59.6774734025 70
59.9854990257 70
60.2931304385 70
60.6003554961 80
60.9071620698 80
61.2135380475 80
61.5194713338 80
61.8249498512 80
62.1299615398 80
62.4344943582 80
62.7385362842 80
63.0420753145 80
63.345099466 80
63.6475967759 80
63.949555302 80
64.2509631235 80
64.5518083414 80
64.8520790789 80
65.1517634816 80
65.4508497187 80
65.7493259828 80
66.0471804904 80
66.3444014827 80
66.6409772261 80
66.9368960123 80
67.2321461587 90
67.5267160096 90
67.8205939357 90
68.1137683352 90
68.4062276342 90
68.6979602869 90
68.9889547761 90
69.2791996139 90
69.5686833419 90
69.8573945317 90
70.1453217857 90
70.4324537368 90
70.7187790497 90
71.0042864206 90
71.2889645783 90
71.572802284 90
71.8557883325 90
72.1379115519 90
72.4191608045 90
72.699524987 90
72.9789930311 90
73.2575539039 90
73.5351966083 90
73.8119101834 90
74.0876837051 90
74.3625062863 90
74.6363670774 90
74.909255267 90
75.1811600818 90
75.4520707875 90
75.7219766891 90
75.990867131 90
76.2587314981 90
76.5255592153 90
76.7913397489 90
77.0560626063 90
77.3197173367 90
77.5822935314 100
77.8437808244 100
78.1041688926 100
78.3634474563 100
78.6216062797 100
78.8786351711 100
79.1345239834 100
79.3892626146 100
79.6428410081 100
79.8952491529 100
80.1464770845 100
80.3965148847 110
80.6453526826 120
80.8929806545 120
81.1393890244 120
81.3845680645 120
81.6285080957 120
81.8711994874 120
82.1126326588 120
82.3527980785 120
82.591686265 120
82.8292877876 120
83.0655932662 120
83.3005933717 120
83.5342788268 120
83.7666404061 120
83.9976689361 120
84.2273552964 120
84.4556904194 120
84.6826652906 120
84.9082709497 120
85.1324984899 120
85.3553390593 120
85.5767838605 120
85.7968241511 120
86.0154512444 120
86.2326565094 120
86.4484313711 120
86.6627673111 120
86.8756558679 120
87.0870886369 120
87.2970572712 120
87.5055534815 120
87.7125690368 120
87.9180957644 120
88.1221255506 120
88.3246503405 120
88.5256621388 120
88.7251530099 120
88.9231150784 120
89.1195405288 120
89.3144216068 120
89.5077506188 120
89.6995199324 120
89.8897219769 120
90.0783492435 120
90.2653942856 120
90.4508497187 120
90.6347082217 120
90.8169625359 120
90.9976054663 120
91.1766298814 120
91.3540287137 120
91.5297949598 120
91.7039216807 120
91.8764020021 120
92.0472291149 120
92.2163962751 120
92.3838968043 120
92.5497240897 120
92.713871585 120
92.8763328097 120
93.0371013502 120
93.1961708596 120
93.3535350582 120
93.5091877335 120
93.6631227405 120
93.8153340022 120
93.9658155095 120
94.1145613217 120
94.2615655666 120
94.4068224407 120
94.5503262094 120
94.6920712076 120
94.8320518393 120
94.9702625783 120
95.1066979684 120
95.2413526233 120
95.3742212271 120
95.5052985342 120
95.6345793702 120
95.762058631 120
95.8877312842 120
96.0115923683 120
96.1336369935 120
96.2538603417 120
96.3722576667 120
96.4888242944 120
96.6035556229 120
96.7164471228 120
96.8274943374 120
96.9366928827 120
97.0440384477 120
97.1495267946 120
97.253153759 120
97.3549152497 120
97.4548072495 120
97.5528258148 120
97.6489670759 120
97.7432272373 120
97.8356025779 120
97.9260894509 120
98.0146842838 120
98.1013835793 120
98.1861839145 120
98.2690819417 120
98.3500743881 120
98.4291580564 120
98.5063298245 120
98.5815866457 120
98.6549255491 120
98.7263436393 120
98.7958380969 120
98.8634061784 120
98.9290452163 120
98.9927526192 120
99.0545258722 120
99.1143625364 120
99.1722602498 120
99.2282167265 120
99.2822297574 120
99.3342972104 120
99.3844170298 120
99.4325872369 120
99.4788059301 120
99.5230712848 120
99.5653815535 120
99.6057350657 120
99.6441302285 120
99.680565526 120
99.7150395198 120
99.7475508491 120
99.7780982302 120
99.8066804572 120
99.8332964017 120
99.857945013 120
99.8806253181 120
99.9013364214 120
99.9200775054 120
99.9368478303 120
99.9516467339 120
99.964473632 120
99.9753280183 120
99.9842094642 120
99.991117619 120
99.9960522102 120
99.9990130428 120
100.0 120
99.9990130428 120
99.9960522102 120
99.991117619 120
99.9842094642 120
99.9753280183 120
99.964473632 120
99.9516467339 120
99.9368478303 120
99.9200775054 120
99.9013364214 120
99.8806253181 120
99.857945013 120
99.8332964017 120
99.8066804572 120
99.7780982302 120
99.7475508491 120
99.7150395198 120
99.680565526 120
99.6441302285 120
99.6057350657 120
99.5653815535 120
99.5230712848 120
99.4788059301 120
99.4325872369 120
99.3844170298 120
99.3342972104 120
99.2822297574 120
99.2282167265 120
99.1722602498 120
99.1143625364 120
99.0545258722 120
98.9927526192 120
98.9290452163 120
98.8634061784 120
98.7958380969 120
98.7263436393 120
98.6549255491 120
98.5815866457 120
98.5063298245 120
98.4291580564 120
98.3500743881 120
98.2690819417 120
98.1861839145 120
98.1013835793 120
98.0146842838 120
97.9260894509 120
97.8356025779 120
97.7432272373 120
97.6489670759 120
97.5528258148 120
97.4548072495 120
97.3549152497 120
97.253153759 120
97.1495267946 120
97.0440384477 120
96.9366928827 120
96.8274943374 120
96.7164471228 120
96.6035556229 120
96.4888242944 120
96.3722576667 120
96.2538603417 120
96.1336369935 120
96.0115923683 120
95.8877312842 120
95.762058631 120
95.6345793702 120
95.5052985343 120
95.3742212271 120
95.2413526233 120
95.1066979684 120
94.9702625783 120
94.8320518393 120
94.6920712076 120
94.5503262094 120
94.4068224407 120
94.2615655666 120
94.1145613217 120
93.9658155095 120
93.8153340022 120
93.6631227405 120
93.5091877335 120
93.3535350582 120
93.1961708596 120
93.0371013502 120
92.8763328097 120
92.713871585 120
92.5497240897 120
92.3838968043 120
92.2163962751 120
92.0472291149 120
91.8764020021 120
91.7039216807 120
91.5297949598 120
91.3540287137 120
91.1766298814 120
90.9976054663 120
90.8169625359 120
90.6347082217 120
90.4508497187 120
90.2653942856 120
90.0783492435 120
89.8897219769 120
89.6995199324 120
89.5077506188 120
89.3144216068 120
89.1195405288 120
88.9231150784 120
88.7251530099 120
88.5256621388 120
88.3246503405 120
88.1221255506 120
87.9180957644 120
87.7125690368 120
87.5055534815 120
87.2970572712 120
87.0870886369 120
86.8756558679 120
86.6627673111 120
86.4484313711 120
86.2326565094 120
86.0154512444 120
85.7968241511 120
85.5767838605 120
85.3553390593 120
85.1324984899 120
84.9082709497 120
84.6826652906 120
84.4556904194 120
84.2273552964 120
83.9976689361 120
83.7666404061 120
83.5342788268 120
83.3005933717 120
83.0655932662 120
82.8292877876 120
82.591686265 120
82.3527980785 120
82.1126326588 120
81.8711994874 120
81.6285080957 120
81.3845680645 120
81.1393890244 120
80.8929806545 120
80.6453526826 120
80.3965148847 120
80.1464770845 120
79.8952491529 120
79.6428410081 110
79.3892626146 110
79.1345239834 110
78.8786351711 110
78.6216062797 110
78.3634474563 110
78.1041688926 110
77.8437808244 110
77.5822935314 110
77.3197173367 110
77.0560626063 110
76.791339749 110
76.5255592153 110
76.2587314981 110
75.990867131 100
75.7219766891 100
75.4520707875 100
75.1811600818 100
74.909255267 100
74.6363670774 100
74.3625062863 100
74.0876837051 100
73.8119101834 100
73.5351966083 100
73.2575539039 100
72.9789930311 100
72.699524987 100
72.4191608045 100
72.1379115519 100
71.8557883325 100
71.572802284 100
71.2889645783 100
71.0042864206 100
70.7187790497 100
70.4324537368 100
70.1453217857 100
69.8573945317 100
69.5686833419 100
69.2791996139 100
68.9889547761 100
68.6979602869 100
68.4062276342 100
68.1137683352 100
67.8205939357 100
67.5267160096 100
67.2321461587 100
66.9368960123 100
66.6409772261 100
66.3444014827 100
66.0471804904 100
65.7493259828 100
65.4508497187 100
65.1517634816 100
64.8520790789 100
64.5518083414 100
64.2509631235 100
63.949555302 100
63.6475967759 100
63.345099466 100
63.0420753145 100
62.7385362842 100
62.4344943582 100
62.1299615398 100
61.8249498512 100
61.5194713338 100
61.2135380475 90
60.9071620698 90
60.6003554961 90
60.2931304385 90
59.9854990257 90
59.6774734025 80
59.3690657293 70
59.0602881814 70
58.7511529488 70
58.4416722356 70
58.1318582597 70
57.821723252 70
57.511279456 70
57.2005391276 70
56.8895145342 70
56.5782179546 70
56.2666616782 70
55.9548580047 70
55.6428192437 70
55.3305577138 70
55.0180857426 70
54.7054156659 70
54.3925598275 70
54.0795305784 70
53.7663402764 70
53.4530012857 70
53.1395259765 70
52.8259267241 70
52.512215909 70
52.1984059159 70
51.8845091335 70
51.5705379539 70
51.2565047722 70
50.9424219858 70
50.6283019942 70
50.3141571983 70
50.0 70
49.6858428017 70
49.3716980058 70
49.0575780142 70
48.7434952278 70
48.4294620461 70
48.1154908665 60
47.8015940841 60
47.487784091 60
47.1740732759 60
46.8604740235 60
46.5469987143 60
46.2336597236 60
45.9204694216 60
45.6074401725 60
45.2945843341 60
44.9819142574 60
44.6694422862 60
44.3571807563 60
44.0451419953 60
43.7333383218 60
43.4217820454 60
43.1104854658 60
42.7994608724 60
42.488720544 60
42.178276748 60
41.8681417403 60
41.5583277644 60
41.2488470512 60
40.9397118186 60
40.6309342707 60
40.3225265975 70
40.0145009743 60
39.7068695615 60
39.3996445039 50
39.0928379302 50
38.7864619525 50
38.4805286662 50
38.1750501488 50
37.8700384602 50
37.5655056418 50
37.2614637158 50
36.9579246855 50
36.654900534 50
36.3524032241 50
36.050444698 50
35.7490368765 50
35.4481916586 50
35.1479209211 50
34.8482365184 50
34.5491502813 50
34.2506740172 50
33.9528195096 50
33.6555985173 50
33.3590227738 50
33.0631039877 50
32.7678538413 50
32.4732839904 50
32.1794060643 50
31.8862316648 50
31.5937723658 50
31.3020397131 50
31.0110452239 50
30.7208003861 50
30.4313166581 50
30.1426054683 50
29.8546782143 50
29.5675462632 50
29.2812209503 50
28.9957135794 50
28.7110354217 50
28.427197716 50
28.1442116675 50
27.8620884481 50
27.5808391955 50
27.300475013 50
27.0210069689 50
26.7424460961 50
26.4648033917 50
26.1880898166 50
25.9123162949 50
25.6374937137 50
25.3636329226 50
25.090744733 50
24.8188399182 50
24.5479292125 50
24.2780233109 50
24.009132869 50
23.7412685019 50
23.4744407847 50
23.2086602511 50
22.9439373937 50
22.6802826633 50
22.4177064686 50
22.1562191756 50
21.8958311074 50
21.6365525437 50
21.3783937203 50
21.1213648289 50
20.8654760166 50
20.6107373854 50
20.3571589919 50
20.1047508471 50
19.8535229155 50
19.6034851153 40
19.3546473174 30
19.1070193455 30
18.8606109756 30
18.6154319355 30
18.3714919043 30
18.1288005126 30
17.8873673412 30
17.6472019215 30
17.408313735 30
17.1707122124 30
16.9344067338 30
16.6994066283 30
16.4657211732 30
16.2333595939 30
16.0023310639 30
15.7726447036 30
15.5443095806 30
15.3173347094 30
15.0917290503 30
14.8675015101 30
14.6446609407 30
14.4232161395 30
14.2031758489 30
13.9845487556 30
13.7673434906 30
13.5515686289 30
13.3372326889 30
13.1243441321 30
12.9129113631 30
12.7029427288 30
12.4944465185 30
12.2874309632 30
12.0819042356 30
11.8778744494 30
11.6753496595 30
11.4743378612 30
11.2748469901 30
11.0768849216 30
10.8804594712 30
10.6855783932 30
10.4922493812 30
10.3004800676 30
10.1102780231 30
9.92165075646 30
9.73460571444 30
9.54915028125 30
9.36529177834 30
9.18303746414 30
9.00239453373 30
8.82337011858 30
8.64597128627 30
8.47020504021 30
8.29607831934 30
8.12359799789 30
7.95277088509 30
7.7836037249 30
7.61610319575 30
7.45027591026 30
7.28612841504 30
7.12366719032 30
6.9628986498 30
6.80382914036 30
6.64646494178 30
6.49081226652 30
6.3368772595 30
6.18466599781 30
6.03418449047 30
5.88543867825 30
5.73843443338 30
5.59317755932 30
5.44967379058 30
5.30792879244 30
5.16794816074 30
5.02973742168 30
4.89330203159 30
4.7586473767 30
4.62577877294 30
4.49470146575 30
4.36542062982 30
4.23794136895 30
4.1122687158 30
3.98840763171 30
3.86636300649 30
3.74613965828 30
3.62774233327 30
3.51117570559 30
3.39644437709 30
3.28355287717 30
3.17250566259 30
3.06330711731 30
2.95596155229 30
2.85047320536 30
2.74684624101 30
2.64508475026 30
2.54519275049 30
2.44717418524 30
2.35103292414 30
2.25677276267 30
2.16439742206 30
2.07391054913 30
1.98531571615 30
1.8986164207 30
1.8138160855 30
1.73091805834 30
1.64992561188 30
1.57084194357 30
1.49367017549 30
1.41841335427 30
1.34507445089 30
1.27365636067 30
1.20416190306 30
1.13659382159 30
1.07095478373 30
1.00724738079 30
0.945474127833 30
0.885637463566 30
0.827739750234 30
0.77178327354 30
0.71777024255 30
0.665702789607 30
0.615582970243 30
0.567412763104 30
0.521194069868 30
0.476928715167 30
0.434618446525 30
0.394264934276 30
0.355869771509 30
0.319434474 30
0.28496048015 30
0.252449150935 30
0.221901769846 30
0.193319542841 30
0.166703598299 30
0.142054986969 30
0.119374681939 30
0.0986635785865 30
0.0799224945513 30
0.0631521696992 30
0.0483532660938 30
0.0355263679706 30
0.0246719817134 30
0.015790535835 30
0.00888238095955 30
0.00394778980919 20
0.000986957193149 20
0.0 20
0.000986957193142 20
0.00394778980919 20
0.00888238095955 20
0.015790535835 20
0.0246719817134 20
0.0355263679705 20
0.0483532660937 20
0.0631521696991 20
0.0799224945513 20
0.0986635785864 20
0.119374681939 20
0.142054986969 20
0.166703598298 20
0.193319542841 20
0.221901769846 20
0.252449150935 20
0.28496048015 20
0.319434473999 20
0.355869771509 20
0.394264934276 20
0.434618446525 20
0.476928715167 20
0.521194069867 20
0.567412763104 20
0.615582970243 20
0.665702789607 20
0.71777024255 20
0.77178327354 20
0.827739750233 20
0.885637463566 20
0.945474127833 20
1.00724738079 20
1.07095478373 20
1.13659382159 20
1.20416190306 20
1.27365636067 20
1.34507445089 20
1.41841335427 20
1.49367017549 20
1.57084194357 20
1.64992561188 20
1.73091805834 20
1.8138160855 20
1.8986164207 20
1.98531571615 20
2.07391054913 20
2.16439742206 20
2.25677276267 20
2.35103292414 20
2.44717418524 20
2.54519275049 20
2.64508475026 20
2.74684624101 20
2.85047320536 20
2.95596155229 20
3.06330711731 20
3.17250566259 20
3.28355287717 20
3.39644437709 20
3.51117570559 20
3.62774233327 20
3.74613965828 20
3.86636300649 20
3.98840763171 20
4.1122687158 20
4.23794136895 20
4.36542062982 20
4.49470146575 20
4.62577877294 20
4.7586473767 20
4.89330203159 20
5.02973742168 20
5.16794816074 20
5.30792879244 20
5.44967379058 20
5.59317755932 20
5.73843443338 20
5.88543867825 20
6.03418449047 20
6.18466599781 20
6.3368772595 20
6.49081226652 20
6.64646494178 20
6.80382914036 20
6.9628986498 20
7.12366719032 20
7.28612841503 20
7.45027591027 20
7.61610319575 20
7.7836037249 20
7.95277088509 20
8.12359799789 20
8.29607831934 20
8.47020504021 20
8.64597128627 20
8.82337011858 20
9.00239453373 20
9.18303746414 20
9.36529177834 20
9.54915028125 20
9.73460571444 20
9.92165075646 20
10.1102780231 20
10.3004800676 20
10.4922493812 20
10.6855783932 20
10.8804594712 20
11.0768849216 20
11.2748469901 20
11.4743378612 20
11.6753496595 20
11.8778744494 20
12.0819042356 20
12.2874309632 20
12.4944465185 20
12.7029427288 20
12.9129113631 20
13.1243441321 20
13.3372326889 20
13.5515686289 20
13.7673434906 20
13.9845487556 20
14.2031758489 20
14.4232161395 20
14.6446609407 20
14.8675015101 20
15.0917290503 20
15.3173347094 20
15.5443095806 20
15.7726447036 20
16.0023310639 20
16.2333595939 20
16.4657211732 20
16.6994066283 20
16.9344067338 30
17.1707122124 30
17.408313735 30
17.6472019215 30
17.8873673412 30
18.1288005126 30
18.3714919043 30
18.6154319355 30
18.8606109756 30
19.1070193455 30
19.3546473174 30
19.6034851153 30
19.8535229155 30
20.1047508471 30
20.3571589919 40
20.6107373854 40
20.8654760166 50
21.1213648289 50
21.3783937203 50
21.6365525437 50
21.8958311074 50
22.1562191756 50
22.4177064686 50
22.6802826633 50
22.9439373937 50
23.2086602511 50
23.4744407847 50
23.7412685019 50
24.009132869 50
24.2780233109 50
24.5479292125 50
24.8188399182 50
25.090744733 50
25.3636329226 50
25.6374937137 50
25.9123162949 50
26.1880898166 50
26.4648033917 50
26.7424460961 50
27.0210069689 50
27.300475013 50
27.5808391955 50
27.8620884481 50
28.1442116675 50
28.427197716 50
28.7110354217 50
28.9957135794 50
29.2812209503 50
29.5675462632 50
29.8546782143 50
30.1426054683 50
30.4313166581 50
30.7208003861 50
31.0110452239 50
31.3020397131 50
31.5937723658 50
31.8862316648 50
32.1794060643 50
32.4732839904 50
32.7678538413 50
33.0631039877 50
33.3590227739 50
33.6555985173 50
33.9528195096 50
34.2506740172 50
34.5491502813 50
34.8482365184 50
35.1479209211 50
35.4481916586 50
35.7490368765 50
36.050444698 50
36.3524032241 50
36.654900534 50
36.9579246855 50
37.2614637158 50
37.5655056418 50
37.8700384602 50
38.1750501488 50
38.4805286662 50
38.7864619525 50
39.0928379302 50
39.3996445039 50
39.7068695615 50
40.0145009743 50
40.3225265975 60
40.6309342707 70
40.9397118186 70
41.2488470512 60
41.5583277644 60
41.8681417403 60
42.178276748 60
42.488720544 60
42.7994608724 60
43.1104854658 60
43.4217820454 60
43.7333383218 60
44.0451419953 60
44.3571807563 60
44.6694422862 60
44.9819142574 60
45.2945843341 60
45.6074401725 60
45.9204694216 60
46.2336597236 60
46.5469987143 60
46.8604740235 60
47.1740732759 60
47.487784091 60
47.8015940841 60
48.1154908665 60
48.4294620461 60
48.7434952278 70
49.0575780142 70
49.3716980058 70
49.6858428017 70
50.0 70
50.3141571983 70
50.6283019942 70
50.9424219858 70
51.2565047722 70
51.5705379539 70
51.8845091335 70
52.1984059159 70
52.512215909 70
52.8259267241 70
53.1395259765 70
53.4530012857 70
53.7663402764 70
54.0795305784 70
54.3925598275 70
54.7054156659 70
55.0180857426 70
55.3305577138 70
55.6428192437 70
55.9548580047 70
56.2666616782 70
56.5782179546 70
56.8895145342 70
57.2005391276 70
57.511279456 70
57.821723252 70
58.1318582597 70
58.4416722356 70
58.7511529488 70
59.0602881814 70
59.3690657293 70
59.6774734025 70
59.9854990257 70
60.2931304385 70
60.6003554961 80
60.9071620698 80
61.2135380475 80
61.5194713338 80
61.8249498512 80
62.1299615398 80
62.4344943582 80
62.7385362842 80
63.0420753145 80
63.345099466 80
63.6475967759 80
63.949555302 80
64.2509631235 80
64.5518083414 80
64.8520790789 80
65.1517634816 80
65.4508497187 80
65.7493259828 80
66.0471804904 80
66.3444014827 80
66.6409772261 80
66.9368960123 80
67.2321461587 90
67.5267160096 90
67.8205939357 90
68.1137683352 90
68.4062276342 90
68.6979602869 90
68.9889547761 90
69.2791996139 90
69.5686833419 90
69.8573945317 90
70.1453217857 90
70.4324537368 90
70.7187790497 90
71.0042864206 90
71.2889645783 90
71.572802284 90
71.8557883325 90
72.1379115519 90
72.4191608045 90
72.699524987 90
72.9789930311 90
73.2575539039 90
73.5351966083 90
73.8119101834 90
74.0876837051 90
74.3625062863 90
74.6363670774 90
74.909255267 90
75.1811600818 90
75.4520707875 100
75.7219766891 100
75.990867131 100
76.2587314981 100
76.5255592153 100
76.7913397489 100
77.0560626063 100
77.3197173367 100
77.5822935314 100
77.8437808244 100
78.1041688926 100
78.3634474563 100
78.6216062797 100
78.8786351711 100
79.1345239834 100
79.3892626146 100
79.6428410081 100
79.8952491529 100
80.1464770845 100
80.3965148847 110
80.6453526826 120
80.8929806545 120
81.1393890244 120
81.3845680645 120
81.6285080957 120
81.8711994874 120
82.1126326588 120
82.3527980785 120
82.591686265 120
82.8292877876 120
83.0655932662 120
83.3005933717 120
83.5342788268 120
83.7666404061 120
83.9976689361 120
84.2273552964 120
84.4556904194 120
84.6826652906 120
84.9082709497 120
85.1324984899 120
85.3553390593 120
85.5767838605 120
85.7968241511 120
86.0154512444 120
86.2326565094 120
86.4484313711 120
86.6627673111 120
86.8756558679 120
87.0870886369 120
87.2970572712 120
87.5055534815 120
87.7125690368 120
87.9180957644 120
88.1221255506 120
88.3246503405 120
88.5256621388 120
88.7251530099 120
88.9231150784 120
89.1195405288 120
89.3144216068 120
89.5077506188 120
89.6995199324 120
89.8897219769 120
90.0783492435 120
90.2653942856 120
90.4508497187 120
90.6347082217 120
90.8169625359 120
90.9976054663 120
91.1766298814 120
91.3540287137 120
91.5297949598 120
91.7039216807 120
91.8764020021 120
92.0472291149 120
92.2163962751 120
92.3838968043 120
92.5497240897 120
92.713871585 120
92.8763328097 120
93.0371013502 120
93.1961708596 120
93.3535350582 120
93.5091877335 120
93.6631227405 120
93.8153340022 120
93.9658155095 120
94.1145613217 120
94.2615655666 120
94.4068224407 120
94.5503262094 120
94.6920712076 120
94.8320518393 120
94.9702625783 120
95.1066979684 120
95.2413526233 120
95.3742212271 120
95.5052985342 120
95.6345793702 120
95.762058631 120
95.8877312842 120
96.0115923683 120
96.1336369935 120
96.2538603417 120
96.3722576667 120
96.4888242944 120
96.6035556229 120
96.7164471228 120
96.8274943374 120
96.9366928827 120
97.0440384477 120
97.1495267946 120
97.253153759 120
97.3549152497 120
97.4548072495 120
97.5528258148 120
97.6489670759 120
97.7432272373 120
97.8356025779 120
97.9260894509 120
98.0146842838 120
98.1013835793 120
98.1861839145 120
98.2690819417 120
98.3500743881 120
98.4291580564 120
98.5063298245 120
98.5815866457 120
98.6549255491 120
98.7263436393 120
98.7958380969 120
98.8634061784 120
98.9290452163 120
98.9927526192 120
99.0545258722 120
99.1143625364 120
99.1722602498 120
99.2282167265 120
99.2822297574 120
99.3342972104 120
99.3844170298 120
99.4325872369 120
99.4788059301 120
99.5230712848 120
99.5653815535 120
99.6057350657 120
99.6441302285 120
99.680565526 120
99.7150395198 120
99.7475508491 120
99.7780982302 120
